px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
6.09574	-12.8682	-2.68143	-0.632477	-1.11292	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	1.62893
5.99042	-12.7566	-2.7057	-0.722828	-1.16056	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	6.35199
5.85604	-12.6901	-2.72297	-0.754684	-1.12889	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	2.34129
5.74195	-12.6144	-2.6984	-0.780711	-1.07941	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	8.66295
5.60077	-12.5464	-2.71095	-0.803204	-1.03973	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	2.13363
5.49652	-12.4306	-2.72163	-0.866378	-1.04829	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	1.02453
5.34699	-12.3615	-2.73725	-0.874954	-0.996106	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	3.35218
5.24492	-12.2595	-2.72938	-0.913316	-0.976505	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	1.22408
5.10679	-12.1761	-2.74112	-0.925154	-0.932796	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	2.1489
5.02009	-12.0627	-2.74688	-0.97012	-0.930285	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.705272
4.90012	-11.9825	-2.75409	-0.97811	-0.891244	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	1.60988
4.81408	-11.8545	-2.76013	-1.02682	-0.891987	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.383226
4.71739	-11.7342	-2.7647	-1.05977	-0.87519	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.320449
4.64673	-11.6155	-2.7414	-1.09576	-0.859961	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	5.38016
4.56681	-11.497	-2.73842	-1.12851	-0.846717	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.319275
4.49445	-11.3479	-2.79128	-1.17966	-0.85804	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	27.2733
4.44871	-11.2084	-2.79528	-1.22861	-0.862955	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.180804
4.42457	-11.0687	-2.76551	-1.28791	-0.877979	4.43713	-11.024	4.45	-11.05	0	1.81614	9.80454
4.40098	-10.9181	-2.76266	-1.34677	-0.888954	4.45136	-10.93	4.45	-10.95	0	1.81612	0.151218
4.37663	-10.7691	-2.76038	-1.39966	-0.893551	4.44745	-10.786	4.45	-10.8	0	2.72555	0.0778134
4.37865	-10.6159	-2.75603	-1.46518	-0.91064	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.398975
4.37541	-10.4674	-2.75144	-1.52165	-0.918913	4.46329	-10.5756	4.45	-10.5	0	2.729	0.300672
4.38807	-10.3155	-2.749	-1.58314	-0.93027	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.182203
4.41228	-10.1651	-2.74417	-1.64971	-0.949295	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.496405
4.45725	-10.0137	-2.74192	-1.72183	-0.96918	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.533647
4.48942	-9.86773	-2.74032	-1.77795	-0.9716	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.350791
4.55073	-9.72171	-2.73935	-1.84921	-0.988925	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.47157
4.56427	-9.57267	-2.74362	-1.87109	-0.945404	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	1.68323
4.64232	-9.43167	-2.74385	-1.9428	-0.963755	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.653673
4.71792	-9.29654	-2.74302	-2.00969	-0.979585	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.522697
4.81987	-9.15954	-2.74907	-2.08501	-0.997413	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.95333
4.90191	-9.04153	-2.7517	-2.1457	-1.01056	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.204794
4.99137	-8.931	-2.75215	-2.20384	-1.0172	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.154679
5.06306	-8.80601	-2.74769	-2.23271	-0.978719	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.51074
5.17744	-8.6851	-2.75538	-2.29559	-0.983938	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.564932
5.27589	-8.58447	-2.75674	-2.34733	-0.985672	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.123389
5.38542	-8.4829	-2.76369	-2.40019	-0.986198	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.358814
5.4755	-8.37114	-2.7561	-2.42112	-0.938611	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	2.00612
5.58321	-8.2693	-2.75563	-2.46699	-0.933839	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.140519
5.66296	-8.14695	-2.74605	-2.46278	-0.856383	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	4.55936
5.78994	-8.04357	-2.75544	-2.50825	-0.851642	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.570513
5.88612	-7.93049	-2.74841	-2.51231	-0.790387	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	2.99365
6.0142	-7.83039	-2.75754	-2.55121	-0.783447	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.559094
6.10938	-7.7153	-2.74797	-2.54257	-0.708952	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	4.446
6.23629	-7.6201	-2.75439	-2.576	-0.702224	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.323349
6.34063	-7.51267	-2.74647	-2.5715	-0.639117	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	3.2873
6.46515	-7.42262	-2.74949	-2.60024	-0.632794	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.190144
6.5782	-7.34154	-2.75146	-2.62354	-0.624073	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0.817532
6.70288	-7.25655	-2.76226	-2.64685	-0.614588	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.769133
